#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
123|1|Curve bLUSD Factory yVault|0x2D59aa422A7AaE58038CF8aE6eD07330Cc7d3ae8|0xc8EF2183B3Bfa1c4A484dcf9292535b3A4e7Def9|StrategyCurveBoostedFactory-bLUSDLUSD3-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
124|1|Curve apeUSD-FRAXBP Factory yVault|0xC8cA30Aa2E486846f7304D3B9334f96d32000F8d|0x5752d0e9c95f9fe34C19174F1BEAb8fa9c9F9737|StrategyCurveBoostedFactory-APEUSDBP3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
125|1|Curve sBTCv2 Factory yVault|0x571B384636BA518697d745AC218aD4cEE5EE0ABC|0x6db528A2276CF28b02fA454191B073D1b4c73f1a|StrategyCurveBoostedFactory-crvWSBTC|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
126|1|Curve sdFXS Factory yVault|0x7e113c504263354ba99290dadAd00D1e1F2b6476|0x8E77Fb0C4A6550eEAa1D51766f8aE10e5b579B12|StrategyCurveBoostedFactory-sdFXSFXS-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
127|1|Curve multiBTC Factory yVault|0x133cb5cF617a33F5D02cFFfF579435776ef29FB0|0xfAC93E9c8c5AEf9E40a46f448034E9CfDdE8d29b|StrategyCurveBoostedFactory-multibtc3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
128|1|Curve sdYFI Factory yVault|0x5331009B82853e9FB711bC0b300E1b374724AdaC|0xDaA68a00D82f4318c118e3544F78c614815a23FF|StrategyCurveBoostedFactory-sdYFIYFI-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
129|1|Curve TRYb Factory yVault|0xe1747F4D30479D7a2DCFEa5af69fb86B8f71cCeC|0x9001Ea824eB63e04D2487d6dCd57143aCB2f88eD|StrategyCurveBoostedFactory-TRYB3POOL-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
130|1|Curve CLEV-ETH Factory yVault|0x3a51269E0707A3416044bad5066858A12198fCf5|0xEE341d18939562D6D8A34ea31Fe9BdA55bACb947|StrategyCurveBoostedFactory-CLEVETH-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
131|1|Curve OHM-FRAXBP Factory yVault|0x7788A5492bc948e1d8c2caa53b2e0a60ed5403b0|0x7b8d53eE4D014AAA9eD6E5258aabA1bCcB8c6318|StrategyConvexFraxFactory-OHMFRAXBP-f|Convex Frax Reinvest|5|2|2|2|2|1|3|5437982755|Green|569736.99|49430263.01|104644.57|49737491.49
132|1|Curve OHM-FRAXBP Factory yVault|0x7788A5492bc948e1d8c2caa53b2e0a60ed5403b0|0xF7461F158bbc6337F63747c3A861CFBfC039022A|StrategyCurveBoostedFactory-OHMFRAXBP-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
